meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
13th FINA World Championships 2009,21.32,31/07/2009,Men 50 Freestyle LCM Male,FRA,France,"LEVEAUX, Amaury",M,02/12/1985,,,33,39,,Rome,ITA
Brazilian National Championships (50m),21.33,05/05/2009,Men 50 Freestyle LCM Male,BRA,Brazil,"CIELO FILHO, Cesar",M,10/01/1987,,,40,40,,Rio de Janeiro,BRA
European Championships 2018,21.34,09/08/2018,Men 50 Freestyle LCM Male,GBR,Great Britain,"PROUD, Benjamin",M,21/09/1994,,,41,41,940,Glasgow,GBR
Olympic Games London 2012,21.34,03/08/2012,Men 50 Freestyle LCM Male,FRA,France,"MANAUDOU, Florent",M,12/11/1990,,,41,42,940,London,GBR
Olympic Games Beijing 2008,21.34,15/08/2008,Men 50 Freestyle LCM Male,BRA,Brazil,"CIELO FILHO, Cesar",M,10/01/1987,,,41,43,1021,Beijing,CHN
World Aquatics Championships - Fukuoka 2023,21.35,28/07/2023,Men 50 Freestyle LCM Male,AUS,Australia,"MCEVOY, Cameron",M,13/05/1994,,,44,44,939,Fukuoka,JPN
Trofeu Brazil - Maria Lenk,21.35,21/04/2018,Men 50 Freestyle LCM Male,BRA,Brazil,"FRATUS, Bruno",M,30/06/1989,,,44,45,939,Rio de Janeiro,BRA
Trofeu Brazil - Maria Lenk,21.35,18/04/2018,Men 50 Freestyle LCM Male,BRA,Brazil,"FRATUS, Bruno",M,30/06/1989,,,44,46,939,Rio de Janeiro,BRA
21st Commonwealth Games 2018,21.35,10/04/2018,Men 50 Freestyle LCM Male,GBR,Great Britain,"PROUD, Benjamin",M,21/09/1994,,,44,47,939,Gold Coast,AUS
13th FINA World Championships 2009,21.35,31/07/2009,Men 50 Freestyle LCM Male,BRA,Brazil,"CIELO FILHO, Cesar",M,10/01/1987,,,44,48,,Rome,ITA
22nd Commonwealth Games 2022,21.36,03/08/2022,Men 50 Freestyle LCM Male,GBR,Great Britain,"PROUD, Benjamin",M,21/09/1994,,,49,49,938,Birmingham,GBR
European Championships 2010,21.36,14/08/2010,Men 50 Freestyle LCM Male,FRA,France,"BOUSQUET, Frederick",M,08/04/1981,,,49,50,942,Budapest,HUN
European Championships 2018,21.37,08/08/2018,Men 50 Freestyle LCM Male,ITA,Italy,"VERGANI, Andrea",M,15/06/1997,,,51,51,936,Glasgow,GBR
Brazil Open 2015,21.37,18/12/2015,Men 50 Freestyle LCM Male,BRA,Brazil,"FRATUS, Bruno",M,30/06/1989,,,51,52,936,-,BRA
16th FINA World Championships 2015,21.37,07/08/2015,Men 50 Freestyle LCM Male,USA,United States of America,"ADRIAN, Nathan",M,07/12/1988,,,51,53,936,Kazan,RUS
15th FINA World Championships 2013,21.37,02/08/2013,Men 50 Freestyle LCM Male,FRA,France,"MANAUDOU, Florent",M,12/11/1990,,,51,54,936,Barcelona,ESP
13th FINA World Championships 2009,21.37,31/07/2009,Men 50 Freestyle LCM Male,BRA,Brazil,"CIELO FILHO, Cesar",M,10/01/1987,,,51,55,,Rome,ITA
World Aquatics Championships - Doha 2024,21.38,16/02/2024,Men 50 Freestyle LCM Male,UKR,Ukraine,"BUKHOV, Vladyslav",M,05/07/2002,,,56,56,935,Doha,QAT
Maria Lenk Trophy,21.38,24/04/2012,Men 50 Freestyle LCM Male,BRA,Brazil,"CIELO FILHO, Cesar",M,10/01/1987,,,56,57,935,Rio de Janeiro,BRA
13th FINA World Championships 2009,21.38,01/08/2009,Men 50 Freestyle LCM Male,CRO,Croatia,"DRAGANJA, Duje",M,27/02/1983,,,56,58,,Rome,ITA
Maria Lenk Trophy,21.39,21/04/2014,Men 50 Freestyle LCM Male,BRA,Brazil,"CIELO FILHO, Cesar",M,10/01/1987,,,59,59,934,Sao Paulo,BRA
European Championships 2022,21.40,16/08/2022,Men 50 Freestyle LCM Male,GBR,Great Britain,"PROUD, Benjamin",M,21/09/1994,,,60,60,932,Rome,ITA
Olympic Games Rio 2016,21.40,12/08/2016,Men 50 Freestyle LCM Male,USA,United States of America,"ERVIN, Anthony",M,26/05/1981,,,60,61,932,Rio de Janeiro,BRA
13th FINA World Championships 2009,21.40,31/07/2009,Men 50 Freestyle LCM Male,USA,United States of America,"JONES, Cullen",M,29/02/1984,,,60,62,,Rome,ITA
Australian Swimming Trials,21.41,18/06/2023,Men 50 Freestyle LCM Male,AUS,Australia,"MCEVOY, Cameron",M,13/05/1994,,,63,63,931,Melbourne,AUS
19th FINA World Championships Budapest 2022,21.41,24/06/2022,Men 50 Freestyle LCM Male,USA,United States of America,"ANDREW, Michael",M,18/04/1999,,,63,64,931,Budapest,HUN
Russian National Championships (50m),21.41,09/04/2021,Men 50 Freestyle LCM Male,RUS,Russian Federation,"MOROZOV, Vladimir",M,16/06/1992,,,63,65,931,Kazan,RUS
Olympic Games Rio 2016,21.41,12/08/2016,Men 50 Freestyle LCM Male,FRA,France,"MANAUDOU, Florent",M,12/11/1990,,,63,66,931,Rio de Janeiro,BRA
16th FINA World Championships 2015,21.41,07/08/2015,Men 50 Freestyle LCM Male,FRA,France,"MANAUDOU, Florent",M,12/11/1990,,,63,67,931,Kazan,RUS
Brazilian National Championships (50m),21.41,20/12/2014,Men 50 Freestyle LCM Male,BRA,Brazil,"FRATUS, Bruno",M,30/06/1989,,,63,68,931,Rio de Janeiro,BRA
Australian National Championships (50m),21.41,27/03/2008,Men 50 Freestyle LCM Male,AUS,Australia,"SULLIVAN, Eamon",M,30/08/1985,,,63,69,1011,Sydney,AUS
19th FINA World Championships Budapest 2022,21.42,23/06/2022,Men 50 Freestyle LCM Male,GBR,Great Britain,"PROUD, Benjamin",M,21/09/1994,,,70,70,930,Budapest,HUN
Olympic Games Tokyo 2020,21.42,31/07/2021,Men 50 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,70,71,930,Tokyo,JPN
British National Swimming Championships (50m),21.42,17/04/2021,Men 50 Freestyle LCM Male,GBR,Great Britain,"PROUD, Benjamin",M,21/09/1994,,,70,72,930,London,GBR
56th International Trophy Sette Colli,21.42,21/06/2019,Men 50 Freestyle LCM Male,BRA,Brazil,"FRATUS, Bruno",M,30/06/1989,,,70,73,930,Rome,ITA
French National Championships (50m),21.42,03/04/2016,Men 50 Freestyle LCM Male,FRA,France,"MANAUDOU, Florent",M,12/11/1990,,,70,74,930,Montpellier,FRA
15th FINA World Championships 2013,21.42,02/08/2013,Men 50 Freestyle LCM Male,USA,United States of America,"ERVIN, Anthony",M,26/05/1981,,,70,75,930,Barcelona,ESP
13th FINA World Championships 2009,21.42,31/07/2009,Men 50 Freestyle LCM Male,HUN,Hungary,"TAKACS, Krisztian",M,30/12/1985,,,70,76,,Rome,ITA
17th FINA World Championships 2017,21.43,29/07/2017,Men 50 Freestyle LCM Male,GBR,Great Britain,"PROUD, Benjamin",M,21/09/1994,,,77,77,928,Budapest,HUN
World Aquatics Championships - Doha 2024,21.44,17/02/2024,Men 50 Freestyle LCM Male,UKR,Ukraine,"BUKHOV, Vladyslav",M,05/07/2002,,,78,78,927,Doha,QAT
European Championships 2018,21.44,09/08/2018,Men 50 Freestyle LCM Male,GRE,Greece,"GKOLOMEEV, Kristian",M,04/07/1993,,,78,79,927,Glasgow,GBR
European Championships 2018,21.44,08/08/2018,Men 50 Freestyle LCM Male,RUS,Russian Federation,"MOROZOV, Vladimir",M,16/06/1992,,,78,80,927,Glasgow,GBR
Russian National Championships (50m),21.44,14/04/2017,Men 50 Freestyle LCM Male,RUS,Russian Federation,"MOROZOV, Vladimir",M,16/06/1992,,,78,81,927,Moscow,RUS
Russian National Championships (50m),21.44,08/04/2017,Men 50 Freestyle LCM Male,RUS,Russian Federation,"MOROZOV, Vladimir",M,16/06/1992,,,78,82,927,Moscow,RUS
Australian National Championships (50m),21.44,12/04/2016,Men 50 Freestyle LCM Male,AUS,Australia,"MCEVOY, Cameron",M,13/05/1994,,,78,83,927,Adelaide,AUS
12th Pan Pacific Championships 2014,21.44,24/08/2014,Men 50 Freestyle LCM Male,BRA,Brazil,"FRATUS, Bruno",M,30/06/1989,,,78,84,927,Gold Coast,AUS
World Aquatics Championships - Doha 2024,21.45,17/02/2024,Men 50 Freestyle LCM Male,AUS,Australia,"MCEVOY, Cameron",M,13/05/1994,,,85,85,926,Doha,QAT
Phillips 66 International Team Trials 2022,21.45,30/04/2022,Men 50 Freestyle LCM Male,USA,United States of America,"ANDREW, Michael",M,18/04/1999,,,85,86,926,Greensboro,USA
18th FINA World Championships 2019,21.45,27/07/2019,Men 50 Freestyle LCM Male,BRA,Brazil,"FRATUS, Bruno",M,30/06/1989,,,85,87,926,Gwangju,KOR
18th FINA World Championships 2019,21.45,27/07/2019,Men 50 Freestyle LCM Male,GRE,Greece,"GKOLOMEEV, Kristian",M,04/07/1993,,,85,88,926,Gwangju,KOR
Polish National Championships (50m),21.45,24/05/2018,Men 50 Freestyle LCM Male,POL,Poland,"JURASZEK, Pawel",M,08/10/1994,,,85,89,926,Lodz,POL
21st Commonwealth Games 2018,21.45,09/04/2018,Men 50 Freestyle LCM Male,GBR,Great Britain,"PROUD, Benjamin",M,21/09/1994,,,85,90,926,Gold Coast,AUS
17th FINA World Championships 2017,21.45,28/07/2017,Men 50 Freestyle LCM Male,RUS,Russian Federation,"MOROZOV, Vladimir",M,16/06/1992,,,85,91,926,Budapest,HUN
Brazilian National Championships (50m),21.45,20/12/2014,Men 50 Freestyle LCM Male,BRA,Brazil,"FRATUS, Bruno",M,30/06/1989,,,85,92,926,Rio de Janeiro,BRA
Maria Lenk Trophy,21.45,21/04/2014,Men 50 Freestyle LCM Male,BRA,Brazil,"FRATUS, Bruno",M,30/06/1989,,,85,93,926,Sao Paulo,BRA
13th FINA World Championships 2009,21.45,31/07/2009,Men 50 Freestyle LCM Male,SWE,Sweden,"NYSTRAND, Stefan",M,20/10/1981,,,85,94,,Rome,ITA
Olympic Games Beijing 2008,21.45,16/08/2008,Men 50 Freestyle LCM Male,FRA,France,"LEVEAUX, Amaury",M,02/12/1985,,,85,95,1005,Beijing,CHN
13th Pan Pacific Championships 2018,21.46,12/08/2018,Men 50 Freestyle LCM Male,USA,United States of America,"ANDREW, Michael",M,18/04/1999,,,96,96,925,Tokyo,JPN
17th FINA World Championships 2017,21.46,29/07/2017,Men 50 Freestyle LCM Male,RUS,Russian Federation,"MOROZOV, Vladimir",M,16/06/1992,,,96,97,925,Budapest,HUN
Olympic Games Rio 2016,21.46,11/08/2016,Men 50 Freestyle LCM Male,USA,United States of America,"ERVIN, Anthony",M,26/05/1981,,,96,98,925,Rio de Janeiro,BRA
Olympic Games Rio 2016,21.46,11/08/2016,Men 50 Freestyle LCM Male,UKR,Ukraine,"GOVOROV, Andrii",M,10/04/1992,,,96,99,925,Rio de Janeiro,BRA
13th FINA World Championships 2009,21.46,31/07/2009,Men 50 Freestyle LCM Male,USA,United States of America,"ADRIAN, Nathan",M,07/12/1988,,,96,100,,Rome,ITA
Olympic Games Beijing 2008,21.46,14/08/2008,Men 50 Freestyle LCM Male,FRA,France,"LEVEAUX, Amaury",M,02/12/1985,,,96,101,1004,Beijing,CHN
Maria Lenk / Brazil Trophy,21.47,21/04/2019,Men 50 Freestyle LCM Male,BRA,Brazil,"FRATUS, Bruno",M,30/06/1989,,,102,102,923,Rio de Janeiro,BRA
Russian National Championships (50m),21.47,25/04/2018,Men 50 Freestyle LCM Male,RUS,Russian Federation,"MOROZOV, Vladimir",M,16/06/1992,,,102,103,923,Moscow,RUS
17th FINA World Championships 2017,21.47,29/07/2017,Men 50 Freestyle LCM Male,POL,Poland,"JURASZEK, Pawel",M,08/10/1994,,,102,104,923,Budapest,HUN
Olympic Games Rio 2016,21.47,11/08/2016,Men 50 Freestyle LCM Male,USA,United States of America,"ADRIAN, Nathan",M,07/12/1988,,,102,105,923,Rio de Janeiro,BRA
15th FINA World Championships 2013,21.47,03/08/2013,Men 50 Freestyle LCM Male,RUS,Russian Federation,"MOROZOV, Vladimir",M,16/06/1992,,,102,106,923,Barcelona,ESP
US National Championships (50m),21.47,25/06/2013,Men 50 Freestyle LCM Male,USA,United States of America,"ADRIAN, Nathan",M,07/12/1988,,,102,107,923,Indianapolis,USA
13th FINA World Championships 2009,21.47,01/08/2009,Men 50 Freestyle LCM Male,USA,United States of America,"JONES, Cullen",M,29/02/1984,,,102,108,,Rome,ITA
Olympic Games Beijing 2008,21.47,14/08/2008,Men 50 Freestyle LCM Male,BRA,Brazil,"CIELO FILHO, Cesar",M,10/01/1987,,,102,109,1002,Beijing,CHN
US Olympic Team Trials - Wave II,21.48,20/06/2021,Men 50 Freestyle LCM Male,USA,United States of America,"ANDREW, Michael",M,18/04/1999,,,110,110,922,Omaha,USA
FINA Champions Swim Series 2019,21.48,28/04/2019,Men 50 Freestyle LCM Male,GBR,Great Britain,"PROUD, Benjamin",M,21/09/1994,,,110,111,922,Guangzhou,CHN
Mare Nostrum - 39th Meeting International de Natation de Monte Carlo 2022,21.49,22/05/2022,Men 50 Freestyle LCM Male,BRA,Brazil,"FRATUS, Bruno",M,30/06/1989,,,112,112,921,Monaco,MON
18th FINA World Championships 2019,21.49,26/07/2019,Men 50 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,112,113,921,Gwangju,KOR
FINA Swimming World Cup 2018,21.49,07/09/2018,Men 50 Freestyle LCM Male,RUS,Russian Federation,"MOROZOV, Vladimir",M,16/06/1992,,,112,114,921,Kazan,RUS
US National Championships (50m),21.49,29/07/2018,Men 50 Freestyle LCM Male,USA,United States of America,"ANDREW, Michael",M,18/04/1999,,,112,115,921,Irvine,USA
Olympic Games Rio 2016,21.49,12/08/2016,Men 50 Freestyle LCM Male,USA,United States of America,"ADRIAN, Nathan",M,07/12/1988,,,112,116,921,Rio de Janeiro,BRA
Olympic Games Rio 2016,21.49,11/08/2016,Men 50 Freestyle LCM Male,UKR,Ukraine,"GOVOROV, Andrii",M,10/04/1992,,,112,117,921,Rio de Janeiro,BRA
European Championships 2010,21.49,15/08/2010,Men 50 Freestyle LCM Male,FRA,France,"BOUSQUET, Frederick",M,08/04/1981,,,112,118,925,Budapest,HUN
13th FINA World Championships 2009,21.49,01/08/2009,Men 50 Freestyle LCM Male,USA,United States of America,"ADRIAN, Nathan",M,07/12/1988,,,112,119,,Rome,ITA
Olympic Games Beijing 2008,21.49,16/08/2008,Men 50 Freestyle LCM Male,FRA,France,"BERNARD, Alain",M,01/05/1983,,,112,120,1000,Beijing,CHN
Phillips 66 National Championships (50m),21.50,01/07/2023,Men 50 Freestyle LCM Male,USA,United States of America,"HELD, Ryan",M,27/06/1995,,,121,121,919,Indianapolis,USA
FINA Swimming World Cup 2019,21.50,04/10/2019,Men 50 Freestyle LCM Male,RUS,Russian Federation,"MOROZOV, Vladimir",M,16/06/1992,,,121,122,919,Budapest,HUN
FINA Swimming World Cup 2019,21.50,08/08/2019,Men 50 Freestyle LCM Male,RUS,Russian Federation,"MOROZOV, Vladimir",M,16/06/1992,,,121,123,919,Jinan,CHN
British Swimming Championships (50m),21.50,20/04/2019,Men 50 Freestyle LCM Male,GBR,Great Britain,"PROUD, Benjamin",M,21/09/1994,,,121,124,919,Glasgow,GBR
Open Tournament 2015,21.50,19/12/2015,Men 50 Freestyle LCM Male,BRA,Brazil,"FRATUS, Bruno",M,30/06/1989,,,121,125,919,Palhoca,BRA
European Championships 2008,21.50,23/03/2008,Men 50 Freestyle LCM Male,FRA,France,"BERNARD, Alain",M,01/05/1983,,,121,126,998,Eindhoven,NED
US Olympic Team Trials - Wave II,21.51,19/06/2021,Men 50 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,127,127,918,Omaha,USA
TYR Pro Swim Series Des Moines 2020,21.51,07/03/2020,Men 50 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,127,128,918,Des Moines,USA
Mission Viejo Swim Meet of Champions,21.51,22/06/2019,Men 50 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,127,129,918,Mission Viejo,USA
17th FINA World Championships 2017,21.51,28/07/2017,Men 50 Freestyle LCM Male,BRA,Brazil,"FRATUS, Bruno",M,30/06/1989,,,127,130,918,Budapest,HUN
US Olympic Team Trials - Swimming,21.51,02/07/2016,Men 50 Freestyle LCM Male,USA,United States of America,"ADRIAN, Nathan",M,07/12/1988,,,127,131,918,Omaha,USA
15th FINA World Championships 2013,21.51,03/08/2013,Men 50 Freestyle LCM Male,TTO,Trinidad and Tobago,"BOVELL, George",M,18/07/1983,,,127,132,918,Barcelona,ESP
13th FINA World Championships 2009,21.51,01/08/2009,Men 50 Freestyle LCM Male,TTO,Trinidad and Tobago,"BOVELL, George",M,18/07/1983,,,127,133,,Rome,ITA
FINA Champions Swim Series 2019,21.52,11/05/2019,Men 50 Freestyle LCM Male,GBR,Great Britain,"PROUD, Benjamin",M,21/09/1994,,,134,134,917,Budapest,HUN
European Championships 2018,21.52,08/08/2018,Men 50 Freestyle LCM Male,GRE,Greece,"GKOLOMEEV, Kristian",M,04/07/1993,,,134,135,917,Glasgow,GBR
26th International Meeting Uster 2018,21.52,04/02/2018,Men 50 Freestyle LCM Male,GBR,Great Britain,"PROUD, Benjamin",M,21/09/1994,,,134,136,917,Uster,SUI
US Olympic Team Trials - Swimming,21.52,02/07/2016,Men 50 Freestyle LCM Male,USA,United States of America,"ERVIN, Anthony",M,26/05/1981,,,134,137,917,Omaha,USA
16th FINA World Championships 2015,21.52,08/08/2015,Men 50 Freestyle LCM Male,USA,United States of America,"ADRIAN, Nathan",M,07/12/1988,,,134,138,917,Kazan,RUS
2013 EnergyAustralia Swimming,21.52,26/04/2013,Men 50 Freestyle LCM Male,AUS,Australia,"MAGNUSSEN, James",M,11/04/1991,,,134,139,917,Adelaide,AUS
14th FINA World Championships 2011,21.52,30/07/2011,Men 50 Freestyle LCM Male,BRA,Brazil,"CIELO FILHO, Cesar",M,10/01/1987,,,134,140,917,Shanghai,CHN
World Aquatics Championships - Doha 2024,21.53,17/02/2024,Men 50 Freestyle LCM Male,GBR,Great Britain,"PROUD, Benjamin",M,21/09/1994,,,141,141,916,Doha,QAT
Olympic Games Tokyo 2020,21.53,31/07/2021,Men 50 Freestyle LCM Male,FRA,France,"MANAUDOU, Florent",M,12/11/1990,,,141,142,916,Tokyo,JPN
18th FINA World Championships 2019,21.53,27/07/2019,Men 50 Freestyle LCM Male,RUS,Russian Federation,"MOROZOV, Vladimir",M,16/06/1992,,,141,143,916,Gwangju,KOR
18th FINA World Championships 2019,21.53,26/07/2019,Men 50 Freestyle LCM Male,BRA,Brazil,"FRATUS, Bruno",M,30/06/1989,,,141,144,916,Gwangju,KOR
Italian National Championships (50m),21.53,02/04/2019,Men 50 Freestyle LCM Male,ITA,Italy,"VERGANI, Andrea",M,15/06/1997,,,141,145,916,Riccione,ITA
US National Championships (50m),21.53,01/07/2017,Men 50 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,141,146,916,Indianapolis,USA
US National Championships (50m),21.53,08/08/2015,Men 50 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,141,147,916,San Antonio,USA
13th FINA World Championships 2009,21.53,01/08/2009,Men 50 Freestyle LCM Male,SWE,Sweden,"NYSTRAND, Stefan",M,20/10/1981,,,141,148,,Rome,ITA
World Aquatics Championships - Doha 2024,21.54,16/02/2024,Men 50 Freestyle LCM Male,GBR,Great Britain,"PROUD, Benjamin",M,21/09/1994,,,149,149,914,Doha,QAT
Mare Nostrum - 37th Meeting International de Natation de Monte Carlo 2019,21.54,09/06/2019,Men 50 Freestyle LCM Male,GRE,Greece,"GKOLOMEEV, Kristian",M,04/07/1993,,,149,150,914,Monaco,MON
Olympic Games Rio 2016,21.54,11/08/2016,Men 50 Freestyle LCM Male,GBR,Great Britain,"PROUD, Benjamin",M,21/09/1994,,,149,151,914,Rio de Janeiro,BRA
Olympic Games London 2012,21.54,03/08/2012,Men 50 Freestyle LCM Male,USA,United States of America,"JONES, Cullen",M,29/02/1984,,,149,152,914,London,GBR
Olympic Games London 2012,21.54,02/08/2012,Men 50 Freestyle LCM Male,BRA,Brazil,"CIELO FILHO, Cesar",M,10/01/1987,,,149,153,914,London,GBR
Olympic Games London 2012,21.54,02/08/2012,Men 50 Freestyle LCM Male,USA,United States of America,"JONES, Cullen",M,29/02/1984,,,149,154,914,London,GBR
Olympic Games Beijing 2008,21.54,15/08/2008,Men 50 Freestyle LCM Male,FRA,France,"BERNARD, Alain",M,01/05/1983,,,149,155,993,Beijing,CHN
Olympic Games Tokyo 2020,21.55,01/08/2021,Men 50 Freestyle LCM Male,FRA,France,"MANAUDOU, Florent",M,12/11/1990,,,156,156,913,Tokyo,JPN
